"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TMEM63A",5.00344587247679e-52,-7.96583239191745,0,0.12,1.07949344698687e-47
"RFLNB",6.1513798937217e-52,-0.849519875988687,0.219,0.454,1.32716021207046e-47
"SYK",6.22766406742791e-52,-0.749344913115546,0.503,0.71,1.34361852254757e-47
"YIPF3",9.46340863609649e-52,7.95396203692171,0.084,0,2.04173041323782e-47
"SDF2",9.50901688817957e-52,8.00458810999168,0.084,0,2.05157039362474e-47
"NCSTN",9.51020299103904e-52,7.99627284177968,0.084,0,2.05182629531667e-47
"YWHAB",1.01154571982254e-51,0.836370452329805,0.706,0.527,2.18240989051714e-47
"NRP1",1.17325329534219e-51,0.431109350468508,0.748,0.45,2.53129398470077e-47
"SNX6",4.13829866463873e-51,0.924114939332916,0.594,0.402,8.92837936895805e-47
"IKZF1",5.03526536451195e-51,-0.682506158621985,0.44,0.689,1.08635850239345e-46
"IFIT3",5.17084959040622e-51,2.0435136219,0.228,0.074,1.11561079913014e-46
"KMT2C",9.58317145744519e-51,-0.590884914279985,0.645,0.821,2.0675692419438e-46
"LGALS3",1.06712038455584e-50,1.74852274886646,0.352,0.172,2.30231222967922e-46
"COP1",1.21942785782286e-50,-0.618578730838769,0.642,0.816,2.63091560325281e-46
"MT-ND4L",1.61454504766891e-50,-0.905620661972377,0.326,0.554,3.48338094034567e-46
"GABARAP",2.00621548386849e-50,0.791044975089707,0.669,0.477,4.32840990644627e-46
"SORL1",2.48480721172046e-50,-1.17155906122706,0.177,0.393,5.36097155928688e-46
"DENND4A",2.52923131255425e-50,-0.822914469014816,0.365,0.596,5.45681655683579e-46
"PSAP",4.26759697553552e-50,0.781259950808825,0.786,0.623,9.20734047471789e-46
"INPP5A",4.5606610161235e-50,-1.63464639710425,0.096,0.28,9.83962614228644e-46
"ALOX5AP",5.03032559924979e-50,1.12577719244167,0.481,0.276,1.08529274803814e-45
"FYB1",5.05841578928092e-50,-0.692207097194389,0.471,0.701,1.09135320653736e-45
"BRAF",6.77657906580565e-50,-0.81960457167961,0.365,0.598,1.46204693344757e-45
"ENSG00000290928",7.47015551265314e-50,-1.02069122214596,0.261,0.48,1.61168605185491e-45
"SLC16A10",9.71320932126321e-50,0.43915230292714,0.473,0.233,2.09562491106254e-45
"RIN3",1.50541584285701e-49,-0.974655767878617,0.325,0.539,3.24793468096401e-45
"IFI44L",1.78448526504766e-49,2.01859950248804,0.195,0.054,3.85002695934033e-45
"EIF4G3",2.10274848637819e-49,-0.591997506547484,0.699,0.836,4.53667985936094e-45
"MMP9",2.33381024114231e-49,1.53014092312089,0.426,0.243,5.03519559526453e-45
"DAB2",2.50901186702308e-49,0.94928167616988,0.484,0.273,5.4131931031023e-45
"CHAMP1",5.72013305061321e-49,-7.8220596783311,0,0.113,1.2341187056698e-44
"RBL1",5.8596480451019e-49,-1.50956233634947,0.134,0.323,1.26421906573073e-44
"MKI67",7.09521048101507e-49,-1.57857256492439,0.068,0.24,1.530791661279e-44
"RREB1",7.44118421363102e-49,-0.740188533763597,0.522,0.718,1.60543549409089e-44
"FBXW7",7.88101793134678e-49,-0.654664018014263,0.531,0.742,1.70032961868807e-44
"PIM1",1.21087657464585e-48,-0.819487545122121,0.377,0.601,2.61246620979843e-44
"CMSS1",1.24229243594797e-48,-1.56034591023566,0.177,0.368,2.68024593055775e-44
"LUC7L2",1.32658123911719e-48,-0.809991399999333,0.381,0.598,2.86209902339533e-44
"PIK3CB",1.61478563357811e-48,-0.624126423238065,0.591,0.778,3.48390000444477e-44
"GNG11",1.75027049655858e-48,3.04784798840697,0.179,0.047,3.77620859632513e-44
"ZNF516",1.90996224939876e-48,-0.970755824632507,0.315,0.53,4.12074355307782e-44
"KCNAB2",2.36851801385796e-48,-0.843233625226478,0.352,0.575,5.11007761489855e-44
"PHIP",2.54511297770414e-48,-0.700146624840211,0.479,0.694,5.49108124939669e-44
"KBTBD11",2.96472755933925e-48,-2.84742604337408,0.025,0.163,6.39639970927444e-44
"ARID1B",3.80840578047964e-48,-0.644330047759535,0.565,0.753,8.21663547138483e-44
