"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.14469745279246e-06,0.278697535784827,0.51,0.378,0.0462718475439973,"10","DDX24"
2.16973460246733e-06,0.497509324391926,0.291,0.193,0.0468120240482326,"10","GART"
2.18618680925916e-06,0.630898566174539,0.262,0.173,0.0471669804097664,"10","PPME1"
2.23723022523091e-06,0.321127666182355,0.578,0.452,0.0482682421093569,"10","FNBP4"
2.28578082289374e-06,0.512187557927737,0.364,0.258,0.0493157212539324,"10","TBK1"
2.3201714510027e-06,0.557841759848408,0.32,0.223,0.0500576990553832,"10","CHPT1"
2.33633343936097e-06,0.361590483818779,0.425,0.303,0.050406393954213,"10","RSBN1L"
2.39938452277713e-06,0.539067973306899,0.265,0.171,0.0517667210789166,"10","NAA38"
2.40819852552348e-06,0.323812059200946,0.578,0.445,0.0519568831881691,"10","HNRNPM"
2.45170782908241e-06,0.541328339741732,0.277,0.181,0.052895596412453,"10","WBP2"
2.58880059539699e-06,0.326075266009145,0.541,0.41,0.05585337284569,"10","CHD1"
2.60831550371616e-06,0.497568610386751,0.352,0.246,0.0562744069926762,"10","EIF5A"
2.71273653712833e-06,0.319766506120389,0.786,0.678,0.0585272907885438,"10","NCL"
2.73668262532019e-06,0.299486932012306,0.813,0.74,0.0590439276412831,"10","PPP3CA"
2.74576031471858e-06,0.384591913566023,0.481,0.359,0.0592397787900533,"10","PTPN11"
2.79141011564396e-06,0.461385673505071,0.427,0.319,0.0602246732450185,"10","BLTP3B"
2.82865152291076e-06,0.327127887741205,0.454,0.325,0.0610281566067997,"10","DAZAP2"
2.82987769410421e-06,0.365716511126251,0.468,0.348,0.0610546112502984,"10","VCP"
2.9621060201639e-06,0.535994995931341,0.267,0.174,0.0639074373850363,"10","NDUFAB1"
2.96580822402207e-06,0.35593462788953,0.454,0.331,0.0639873124332762,"10","PPP1CB"
3.01416341101525e-06,0.322154788021124,0.493,0.367,0.0650305755926541,"10","SRSF10"
3.06960714644365e-06,0.498387006007197,0.476,0.382,0.0662267741845218,"10","HTT"
3.08441613589212e-06,0.517066429902453,0.32,0.219,0.0665462781318725,"10","SCAF4"
3.08466713701459e-06,0.498467073621556,0.306,0.207,0.0665516934810897,"10","FBL"
3.19034056844524e-06,0.508843243423309,0.323,0.222,0.0688315977642061,"10","SIN3A"
3.30591019408515e-06,0.501266444689375,0.303,0.203,0.0713250124373871,"10","MARF1"
3.32231049845585e-06,0.301750162711057,0.653,0.526,0.0716788490041849,"10","ATP11B"
3.38964020425494e-06,0.436973637289008,0.35,0.244,0.0731314874068003,"10","MED4"
3.43790211498624e-06,0.650369857603915,0.483,0.379,0.0741727381308281,"10","ANO6"
3.46453957588401e-06,0.417828964947856,0.5,0.379,0.0747474413496975,"10","PIKFYVE"
3.52206537628133e-06,0.611036990554738,0.32,0.223,0.0759885604932697,"10","STMN1"
3.52688612256352e-06,0.655591240335787,0.333,0.236,0.076092568094308,"10","WRN"
3.53329647602559e-06,0.300457411858956,0.451,0.325,0.076230871470252,"10","ADIPOR2"
3.68311943327086e-06,0.4601429465732,0.325,0.223,0.0794633017728189,"10","CNOT10"
3.74770979377365e-06,0.271180006026381,0.629,0.487,0.0808568388006666,"10","HNRNPK"
3.76008782685441e-06,0.480263257251157,0.323,0.222,0.081123894864384,"10","TAF7"
3.82034595085103e-06,0.267115252007189,0.621,0.491,0.082423963889611,"10","MATR3"
3.84405559933938e-06,0.541195401231333,0.325,0.229,0.0829354995557472,"10","RELL1"
3.85349814864665e-06,0.312259399636438,0.536,0.401,0.0831392225570516,"10","KDM5A"
3.91129770632784e-06,0.457154978594582,0.311,0.21,0.0843862480140232,"10","VEZT"
3.96382569046184e-06,0.572424639191883,0.255,0.166,0.0855195392717142,"10","HAUS6"
