"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PIGN",1.1893567337237e-20,-0.57667409271141,0.286,0.395,2.56603715300888e-16
"RPL13A",1.22587582476657e-20,-0.159134485917126,0.877,0.92,2.64482709193387e-16
"RNF181",1.24018854420969e-20,0.941309489983829,0.246,0.155,2.67570678413241e-16
"GANC",1.24610195955151e-20,-0.876228731228108,0.149,0.242,2.68846497773239e-16
"ENSG00000260517",1.24869720403375e-20,-6.48109078938697,0,0.029,2.69406421770282e-16
"NR2C2AP",1.24882613849229e-20,-6.51211768500759,0,0.029,2.69434239379711e-16
"TMEM216",1.24882628312584e-20,-6.49668764443799,0,0.029,2.694342705844e-16
"TMEM237",1.27507061467177e-20,6.51820459763644,0.029,0,2.75096485115435e-16
"THAP7",1.27625229387695e-20,6.67182778674965,0.029,0,2.75351432403951e-16
"HERC2P9",1.27840997848882e-20,6.4347885894488,0.029,0,2.75816952858963e-16
"CD300A",1.30741731505423e-20,0.924389929564664,0.219,0.13,2.8207528572295e-16
"HLA-DRB5",1.34608137233384e-20,1.39039447009035,0.105,0.042,2.90417056081026e-16
"UBE2D2",1.35892943740812e-20,-0.480324787416529,0.399,0.51,2.93189026120802e-16
"IFNAR2",1.40160994142692e-20,-0.492031282006766,0.401,0.514,3.02397344862859e-16
"ATAD3B",1.45638187001915e-20,-1.48658259290046,0.037,0.098,3.14214388456632e-16
"FOXO3",1.48461121614762e-20,-0.545138481657813,0.321,0.432,3.2030486988385e-16
"ORAI2",1.512137226518e-20,-0.8090763950947,0.13,0.222,3.26243606621259e-16
"RNF149",1.59758520199855e-20,0.246838592882667,0.651,0.496,3.44679007331187e-16
"CDK8",1.63435967376323e-20,-0.525256544626843,0.287,0.4,3.52613099614416e-16
"RSU1",1.6446774550773e-20,-0.581015600676991,0.344,0.451,3.54839160932928e-16
"RAPH1",1.64834040654332e-20,0.700061467478597,0.247,0.151,3.55629442711721e-16
"SNHG14",1.66786489805693e-20,-0.643245772585936,0.189,0.293,3.59841851755783e-16
"UNK",1.69124056343619e-20,-0.849563823988996,0.126,0.216,3.64885151561358e-16
