"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TRPV2",8.82658924721714e-07,-0.813127379064198,0.068,0.11,0.019043366300871
"LAMTOR2",8.8584489137882e-07,-0.472131970551434,0.192,0.253,0.019112103531498
"DPP4",8.8900627578313e-07,1.27070421173927,0.081,0.047,0.019180310400021
"BOLA2B",8.95371667866611e-07,-4.65388838560271,0,0.013,0.0193176437342221
"ENSG00000286656",8.95390139223902e-07,-4.68865380376338,0,0.013,0.0193180422537557
"MVK",8.95390139223902e-07,-4.68865380376338,0,0.013,0.0193180422537557
"ABCB9",8.95390139223902e-07,-4.68865380376338,0,0.013,0.0193180422537557
"ENSG00000265334",8.95390139223902e-07,-4.68865380376338,0,0.013,0.0193180422537557
"ZNF547",8.95390139223902e-07,-4.68865380376338,0,0.013,0.0193180422537557
"MLC1",8.95390139223902e-07,-4.68865380376338,0,0.013,0.0193180422537557
"FKBP2",8.95407638700896e-07,-4.72260113568672,0,0.013,0.0193184198049718
"ZG16B",8.95407638700896e-07,-4.72260113568672,0,0.013,0.0193184198049718
"ENSG00000261474",8.95407638700896e-07,-4.72260113568672,0,0.013,0.0193184198049718
"SETD9",8.95439826930408e-07,-4.7881894773143,0,0.013,0.0193191142660236
"USP30-AS1",8.95454568151448e-07,-4.81989833704163,0,0.013,0.0193194323078675
"MUC20",8.95611820575672e-07,-4.61826447587198,0,0.013,0.0193228250289201
"ANK2-AS1",8.95611820575672e-07,-4.61826447587198,0,0.013,0.0193228250289201
"NYNRIN",8.95611820575672e-07,-4.61826447587198,0,0.013,0.0193228250289201
"EMILIN1",9.00719839453257e-07,1.75613103890951,0.027,0.009,0.019433030536204
"ENSG00000232884",9.17161366822325e-07,-1.06323925930493,0.029,0.061,0.0197877564891917
"LINC00511",9.22013438951422e-07,-1.12773677700888,0.029,0.061,0.0198924399453769
"MIPOL1",9.26946302393446e-07,2.51101854107298,0.018,0.004,0.0199988664741386
"MYADM",9.33747344017989e-07,0.617030310154481,0.145,0.099,0.0201455989471881
"RANBP10",9.39848727989971e-07,-0.537034456840315,0.084,0.132,0.0202772363063836
"TUBE1",9.42114591266393e-07,1.15553788647459,0.056,0.028,0.0203261223065724
"ENSG00000285492",9.55644549928696e-07,-1.48898145892702,0.015,0.041,0.0206180311647116
"SLC46A3",9.56433637016823e-07,-0.713291083257756,0.043,0.08,0.020635055718638
"MBOAT2",9.59830219143049e-07,-0.697031561104327,0.057,0.098,0.0207083369780113
"THADA",9.76110907852913e-07,0.621448855727191,0.306,0.259,0.0210595928369266
"TNFSF9",1.01034573920397e-06,1.35275645715625,0.036,0.014,0.0217982093233256
"FTCDNL1",1.03261000727727e-06,-0.56835957004567,0.091,0.139,0.022278560907007
"RAPGEF1",1.03524113483492e-06,-0.190020601640838,0.536,0.622,0.0223353274840634
"AFG1L",1.06307784584257e-06,-0.46334389904464,0.096,0.147,0.0229359045240534
"SLC38A1",1.06565377699482e-06,0.474417526637868,0.212,0.159,0.0229914802386631
"TANGO6",1.07237158351933e-06,-0.473214143068701,0.066,0.11,0.0231364169144295
